ID_Pedido,Fecha_Pedido,Cliente_ID,Pais,Region,Producto_ID,Categoria_Producto,Unidades_Vendidas,Precio_Unitario_USD,Costo_Produccion_Unitario_USD,Metodo_Produccion,Calidad_Algodon,Sostenibilidad_Certificada,Plazo_Entrega_Dias,Estado_Pedido,Satisfaccion_Cliente,Emision_CO2_Kg,Materia_Prima_Kg,Agua_Utilizada_L,Energia_Consumida_kWh,Fecha_Produccion,Turno_Produccion,Defectos_Unidad,Rechazos_Calidad,Ventas_Totales_USD,Costos_Totales_USD,Beneficio_USD,Margen_Beneficio
1001,1/5/2024,CL20345,Estados Unidos,Norte América,PRD001,Tela Cruda,1500,12.5,7.2,Convencional,Alta,FALSE,10,Entregado,4.2,3200,18000,950000,18500,1/10/2024,Diurno,15,8,18750,10800,7950,42.4
1002,1/7/2024,CL11022,Mexico,Latino América,PRD003,Tela Teñida,800,18.75,10.5,Orgánico,Media,TRUE,15,Entregado,4.8,1800,9600,520000,9800,1/12/2024,Nocturno,8,3,15000,8400,6600,44
1003,1/8/2024,CL30567,España,Europa,PRD005,Hilado,2500,8.9,4.75,Convencional,Baja,FALSE,7,Entregado,3.5,4100,30000,1500000,32000,1/9/2024,Diurno,32,18,22250,11875,10375,46.6
1004,1/10/2024,CL40981,Brasil,Latino América,PRD002,Tela Cruda,1200,13.25,7.8,Orgánico,Alta,TRUE,12,Entregado,4.5,2600,14400,760000,14800,1/15/2024,Diurno,10,5,15900,9360,6540,41.1
1005,1/12/2024,CL50234,India,Asia,PRD004,Tela Estampada,950,22.4,13.2,Convencional,Media,FALSE,20,Pendiente,0,2100,11400,610000,11500,1/18/2024,Nocturno,12,6,21280,12540,8740,41.1
1006,1/15/2024,CL60115,Francia,Europa,PRD006,Hilado,3000,9.1,5.1,Orgánico,Alta,TRUE,8,Entregado,4.9,4800,36000,1800000,38500,1/18/2024,Diurno,25,12,27300,15300,12000,44
1007,1/18/2024,CL20345,Estados Unidos,Norte América,PRD007,Tela Teñida,700,19.5,11.25,Convencional,Media,FALSE,14,Entregado,3.8,1600,8400,460000,8700,1/22/2024,Nocturno,9,4,13650,7875,5775,42.3
1008,1/20/2024,CL71002,Egipto,África,PRD001,Tela Cruda,1800,12.5,7.2,Convencional,Alta,FALSE,9,Entregado,4.1,3800,21600,1140000,22200,1/25/2024,Diurno,20,11,22500,12960,9540,42.4
1009,1/22/2024,CL81056,Japón,Asia,PRD008,Tela Estampada,600,24.3,14.8,Orgánico,Alta,TRUE,18,Entregado,4.7,1500,7200,390000,7400,1/26/2024,Nocturno,6,2,14580,8880,5700,39.1
1010,1/25/2024,CL30567,España,Europa,PRD009,Hilado,2200,8.5,4.6,Convencional,Baja,FALSE,6,Entregado,3.9,3700,26400,1320000,28200,1/28/2024,Diurno,28,15,18700,10120,8580,45.9
1011,1/28/2024,CL91034,Australia,Oceanía,PRD003,Tela Teñida,1100,18.75,10.5,Orgánico,Media,TRUE,13,Entregado,4.6,2400,13200,710000,13400,2/1/2024,Diurno,12,5,20625,11550,9075,44
1012,2/2/2024,CL11022,Mexico,Latino América,PRD010,Tela Cruda,1350,12.8,7.4,Convencional,Alta,FALSE,11,Entregado,4.3,2900,16200,860000,16800,2/6/2024,Nocturno,14,7,17280,9990,7290,42.2
1013,2/5/2024,CL50234,India,Asia,PRD005,Hilado,2700,8.9,4.75,Orgánico,Alta,TRUE,7,Entregado,4.8,4400,32400,1620000,34600,2/8/2024,Diurno,22,10,24030,12825,11205,46.6
1014,2/8/2024,CL60115,Francia,Europa,PRD002,Tela Cruda,1000,13.25,7.8,Convencional,Media,FALSE,10,Entregado,4,2200,12000,630000,12300,2/12/2024,Nocturno,11,6,13250,7800,5450,41.1
1015,2/10/2024,CL71002,Egipto,África,PRD007,Tela Teñida,850,19.5,11.25,Orgánico,Alta,TRUE,16,Entregado,4.9,1900,10200,550000,10500,2/14/2024,Diurno,8,3,16575,9562.5,7012.5,42.3
1016,2/12/2024,CL80912,Canadá,Norte América,PRD004,Tela Estampada,750,22.4,13.2,Convencional,Media,FALSE,19,Pendiente,0,1700,9000,480000,9100,2/16/2024,Nocturno,10,5,16800,9900,6900,41.1
1017,2/15/2024,CL91034,Australia,Oceanía,PRD006,Hilado,3200,9.1,5.1,Orgánico,Alta,TRUE,8,Entregado,4.7,5100,38400,1920000,41000,2/19/2024,Diurno,26,13,29120,16320,12800,44
