ID_Pedido,Fecha_Pedido,Cliente_ID,Pais,Region,Producto_ID,Categoria_Producto,Unidades_Vendidas,Precio_Unitario_USD,Costo_Produccion_Unitario_USD,Metodo_Produccion,Calidad_Algodon,Sostenibilidad_Certificada,Plazo_Entrega_Dias,Estado_Pedido,Satisfaccion_Cliente,Emision_CO2_Kg,Materia_Prima_Kg,Agua_Utilizada_L,Energia_Consumida_kWh,Fecha_Produccion,Turno_Produccion,Defectos_Unidad,Rechazos_Calidad,Ventas_Totales_USD,Costos_Totales_USD,Beneficio_USD,Margen_Beneficio
1001,2024-01-05,CL20345,Estados Unidos,Norteamérica,PRD001,Tela Cruda,1500,12.50,7.20,Convencional,Alta,FALSE,10,Entregado,4.2,3200,18000,950000,18500,2024-01-10,Diurno,15,8,18750,10800,7950,42.4
1002,2024-01-07,CL11022,México,Latinoamérica,PRD003,Tela Teñida,800,18.75,10.50,Orgánico,Media,TRUE,15,Entregado,4.8,1800,9600,520000,9800,2024-01-12,Nocturno,8,3,15000,8400,6600,44.0
1003,2024-01-08,CL30567,España,Europa,PRD005,Hilado,2500,8.90,4.75,Convencional,Baja,FALSE,7,Entregado,3.5,4100,30000,1500000,32000,2024-01-09,Diurno,32,18,22250,11875,10375,46.6
1004,2024-01-10,CL40981,Brasil,Latinoamérica,PRD002,Tela Cruda,1200,13.25,7.80,Orgánico,Alta,TRUE,12,Entregado,4.5,2600,14400,760000,14800,2024-01-15,Diurno,10,5,15900,9360,6540,41.1
1005,2024-01-12,CL50234,India,Asia,PRD004,Tela Estampada,950,22.40,13.20,Convencional,Media,FALSE,20,Pendiente,,2100,11400,610000,11500,2024-01-18,Nocturno,12,6,21280,12540,8740,41.1
1006,2024-01-15,CL60115,Francia,Europa,PRD006,Hilado,3000,9.10,5.10,Orgánico,Alta,TRUE,8,Entregado,4.9,4800,36000,1800000,38500,2024-01-18,Diurno,25,12,27300,15300,12000,44.0
1007,2024-01-18,CL20345,Estados Unidos,Norteamérica,PRD007,Tela Teñida,700,19.50,11.25,Convencional,Media,FALSE,14,Entregado,3.8,1600,8400,460000,8700,2024-01-22,Nocturno,9,4,13650,7875,5775,42.3
1008,2024-01-20,CL71002,Egipto,África,PRD001,Tela Cruda,1800,12.50,7.20,Convencional,Alta,FALSE,9,Entregado,4.1,3800,21600,1140000,22200,2024-01-25,Diurno,20,11,22500,12960,9540,42.4
1009,2024-01-22,CL81056,Japón,Asia,PRD008,Tela Estampada,600,24.30,14.80,Orgánico,Alta,TRUE,18,Entregado,4.7,1500,7200,390000,7400,2024-01-26,Nocturno,6,2,14580,8880,5700,39.1
1010,2024-01-25,CL30567,España,Europa,PRD009,Hilado,2200,8.50,4.60,Convencional,Baja,FALSE,6,Entregado,3.9,3700,26400,1320000,28200,2024-01-28,Diurno,28,15,18700,10120,8580,45.9
1011,2024-01-28,CL91034,Australia,Oceanía,PRD003,Tela Teñida,1100,18.75,10.50,Orgánico,Media,TRUE,13,Entregado,4.6,2400,13200,710000,13400,2024-02-01,Diurno,12,5,20625,11550,9075,44.0
1012,2024-02-02,CL11022,México,Latinoamérica,PRD010,Tela Cruda,1350,12.80,7.40,Convencional,Alta,FALSE,11,Entregado,4.3,2900,16200,860000,16800,2024-02-06,Nocturno,14,7,17280,9990,7290,42.2
1013,2024-02-05,CL50234,India,Asia,PRD005,Hilado,2700,8.90,4.75,Orgánico,Alta,TRUE,7,Entregado,4.8,4400,32400,1620000,34600,2024-02-08,Diurno,22,10,24030,12825,11205,46.6
1014,2024-02-08,CL60115,Francia,Europa,PRD002,Tela Cruda,1000,13.25,7.80,Convencional,Media,FALSE,10,Entregado,4.0,2200,12000,630000,12300,2024-02-12,Nocturno,11,6,13250,7800,5450,41.1
1015,2024-02-10,CL71002,Egipto,África,PRD007,Tela Teñida,850,19.50,11.25,Orgánico,Alta,TRUE,16,Entregado,4.9,1900,10200,550000,10500,2024-02-14,Diurno,8,3,16575,9562.5,7012.5,42.3
1016,2024-02-12,CL80912,Canadá,Norteamérica,PRD004,Tela Estampada,750,22.40,13.20,Convencional,Media,FALSE,19,Pendiente,,1700,9000,480000,9100,2024-02-16,Nocturno,10,5,16800,9900,6900,41.1
1017,2024-02-15,CL91034,Australia,Oceanía,PRD006,Hilado,3200,9.10,5.10,Orgánico,Alta,TRUE,8,Entregado,4.7,5100,38400,1920000,41000,2024-02-19,Diurno,26,13,29120,16320,12800,44.0
1018,2024-02-18,CL20345,Estados Unidos,Norteamérica,PRD008,Tela Estampada,550,24.30,14.80,Convencional,Media,FALSE,17,Entregado,3.7,1400,6600,360000,6800,2024-02-22,Nocturno,7,4,13365,8140,5225,39.1
1019,2024-02-20,CL30567,España,Europa,PRD009,Hilado,2400,8.50,4.60,Orgánico,Alta,TRUE,5,Entregado,4.5,4000,28800,1440000,30700,2024-02-24,Diurno,20,9,20400,11040,9360,45.9
1020,2024-02-23,CL40981,Brasil,Latinoamérica,PRD001,Tela Cruda,1650,12.50,7.20,Convencional,Baja,FALSE,10,Entregado,3.9,3500,19800,1040000,20300,2024-02-27,Nocturno,18,10,20625,11880,8745,42.4
1021,2024-02-25,CL50234,India,Asia,PRD003,Tela Teñida,900,18.75,10.50,Orgánico,Media,TRUE,14,Entregado,4.4,2000,10800,580000,11000,2024-03-01,Diurno,9,4,16875,9450,7425,44.0
1022,2024-02-28,CL60115,Francia,Europa,PRD010,Tela Cruda,1400,12.80,7.40,Convencional,Alta,FALSE,12,Entregado,4.1,3000,16800,890000,17400,2024-03-03,Nocturno,15,8,17920,10360,7560,42.2
1023,2024-03-02,CL71002,Egipto,África,PRD005,Hilado,2900,8.90,4.75,Convencional,Media,FALSE,6,Entregado,3.6,4700,34800,1740000,37200,2024-03-05,Diurno,30,16,25810,13775,12035,46.6
1024,2024-03-05,CL80912,Canadá,Norteamérica,PRD002,Tela Cruda,1150,13.25,7.80,Orgánico,Alta,TRUE,11,Entregado,4.8,2500,13800,730000,14200,2024-03-09,Nocturno,10,5,15237.5,8970,6267.5,41.1
